link_id,from_node,to_node,u_osm,v_osm,edge_key,osm_way,name,highway,oneway,length_m,lanes,maxspeed,ref,access,bridge,tunnel,geometry,odbc,od_eff_loss,lscc_loss,td_loss,reachable_demand_share,odbc_rank,odbc_pct,od_eff_rank,od_eff_pct,lscc_rank,lscc_pct,td_rank,td_pct
1685,1017,546,1636768930,991294801,0,101166571,文明里 Man Ming Lane,tertiary,False,6.77,2,,,,,,"LINESTRING (114.170371 22.311813, 114.170305 22.311819)",0.0006567288104906279,2.9625992358106545e-05,0.0006476683937823658,2.4967528943824406e-05,1.0,2184,0.2335907335907336,2128,0.2532467532467532,572,0.7032292032292032,2256,0.20831870831870833
1686,1017,743,1636768930,1172757982,0,150801663,鴉打街 Arthur Street,residential,True,110.759,,,,,,,"LINESTRING (114.170371 22.311813, 114.170392 22.311714, 114.170469 22.311344, 114.170562 22.310876, 114.17057 22.310834)",4.705466978389841e-05,1.1004737639403936e-07,0.0,4.420815444547916e-07,1.0,2481,0.12951912951912953,2508,0.12004212004212005,1122,0.3034398034398034,2504,0.12144612144612145
1687,1018,1017,1636768934,1636768930,0,150801668,文明里 Man Ming Lane,tertiary,True,49.073,2,,,,,,"LINESTRING (114.170835 22.31184, 114.170814 22.311856, 114.170794 22.311863, 114.170764 22.311869, 114.170737 22.311868, 114.170724 22.311868, 114.170708 22.311866, 114.170371 22.311813)",0.0006329390758531244,8.913563831151426e-05,0.0012953367875647315,0.0005745838705856734,0.9998137743010105,2193,0.2306072306072306,1909,0.3302913302913303,360,0.836960336960337,1413,0.5043875043875043
1688,1018,593,1636768934,1151084822,0,1200878752;30658263,彌敦道 Nathan Road,primary,True,125.042,3,,,,,,"LINESTRING (114.170835 22.31184, 114.170675 22.312658, 114.170634 22.312864, 114.170632 22.312876, 114.170618 22.312947)",0.04338093444494312,0.002435395350170116,0.0,0.0040193883541522575,1.0,59,0.9796419796419796,396,0.8613548613548614,1122,0.3034398034398034,494,0.8269568269568269
1689,1019,798,1636768937,1183208502,0,493994639,新填地街 Reclamation Street,secondary,True,4.498,3,,,,,,"LINESTRING (114.169096 22.312093, 114.169088 22.312133)",0.005246461806482518,0.0003515682873655402,0.002590673575129463,0.0007879440967743333,0.9998357821979494,1439,0.49491049491049494,1381,0.5154440154440154,144,0.9371709371709371,1248,0.5621270621270621
1690,1019,1542,1636768937,6785924022,0,150801673,石龍街 Shek Lung Street,residential,False,135.339,2,,,,,,"LINESTRING (114.169096 22.312093, 114.169029 22.312082, 114.168352 22.311965, 114.167825 22.311876, 114.167802 22.311872)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1691,1020,1021,1636768941,1636768942,0,102443800;150801674,德昌里 Tak Cheong Lane;德昌街 Tak Cheong Street,residential,False,109.597,,,,,,,"LINESTRING (114.168036 22.31302, 114.167447 22.312926, 114.167428 22.312934, 114.167407 22.312951, 114.167343 22.313334)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1692,1021,1020,1636768942,1636768941,0,102443800;150801674,德昌里 Tak Cheong Lane;德昌街 Tak Cheong Street,residential,False,109.597,,,,,,,"LINESTRING (114.167343 22.313334, 114.167407 22.312951, 114.167428 22.312934, 114.167447 22.312926, 114.168036 22.31302)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1693,1021,79,1636768942,308473176,0,150801671,碧街 Pitt Street,tertiary,True,102.229,2,,,,,,"LINESTRING (114.167343 22.313334, 114.16789 22.313431, 114.168248 22.313493, 114.168269 22.313497, 114.16832 22.313505)",0.0,0.0,0.0012953367875647315,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,360,0.836960336960337,2520,0.05809055809055809
1694,1022,673,1636768949,1162875765,0,150801666,甘霖街 Kam Lam Street,residential,True,105.84199999999998,,,,,,,"LINESTRING (114.167046 22.317013, 114.16706 22.31695, 114.167219 22.316183, 114.167263 22.316085)",0.0034734738977683405,5.495079862409023e-05,0.0012953367875647315,0.0002281985269176545,0.9999311556882625,1680,0.41067041067041066,2015,0.2930852930852931,360,0.836960336960337,1789,0.3724113724113724
