node_id,osm_id,lon,lat,odbc,od_eff_loss,lscc_loss,td_loss,reachable_demand_share,odbc_rank,odbc_pct,od_eff_rank,od_eff_pct,lscc_rank,lscc_pct,td_rank,td_pct
19,275816026,114.154246,22.3310169,0.01027743032202285,0.008509070036080807,0.0012953367875647315,0.031655364556404185,0.989722569677977,930,0.463935372186959,132,0.9244085401038661,577,0.5744373918061165,128,0.9267166762839008
20,275909450,114.1587839,22.3275985,0.005188704026496609,0.00147502686393743,0.0006476683937823658,0.003787853202659933,0.9988217592780079,1189,0.31448355452971727,787,0.5464512406231967,901,0.2951529140219273,802,0.5377957299480669
21,275922253,114.1664541,22.3311815,0.012267250685509936,0.00422413232483396,0.002590673575129463,0.00898253649334722,0.9988035810542942,839,0.5164454702827467,353,0.7968840161569533,244,0.823139065204847,490,0.7178303519907675
22,275924540,114.1749214,22.3299504,0.018655589433915844,0.008625688781434495,0.0032383419689119533,0.05746081131581621,0.9813444105660841,621,0.6422388920946336,128,0.9267166762839008,170,0.8814195037507213,42,0.9763416041546451
23,275935761,114.1744266,22.3289764,0.024868668884534248,0.012315187975509316,0.009715025906735736,0.07659762751059797,0.9751313311154656,440,0.7466820542412003,73,0.9584535487593768,8,0.9950952106174265,15,0.9919215233698788
24,275935771,114.1720562,22.3273509,0.011773358588224763,0.0009343558110631572,0.0006476683937823658,0.0021993598792058827,1.0,863,0.502596653202539,977,0.4368147720715522,901,0.2951529140219273,998,0.42469705712637046
25,275943901,114.164835,22.3280008,0.009009849591004386,0.00048134232118985835,0.0006476683937823658,0.0004714740111915204,0.9999367546075646,990,0.4293133294864397,1193,0.31217541834968265,901,0.2951529140219273,1416,0.18349682631275246
26,275945418,114.1718679,22.3156488,0.008378681413179425,0.005567854022244664,0.0019430051813470973,0.024279962432543507,0.9921506015240001,1009,0.41834968263127525,243,0.8603577611079054,372,0.727062896710906,185,0.8938257357184074
27,275945538,114.1720243,22.3179153,0.005485904121836076,0.00090001253453192,0.0006476683937823658,0.0032977699522411573,0.9990261362569611,1166,0.3277553375649163,990,0.4293133294864397,901,0.2951529140219273,848,0.5112521638776688
28,275945763,114.1710549,22.3224019,0.04393016995594098,0.00541645398480815,0.0012953367875647315,0.007756632100328109,1.0,129,0.9261396422388921,257,0.8522792844777842,577,0.5744373918061165,532,0.693594922100404
29,275948630,114.1908856,22.3176925,0.011803905993492856,0.0020003994635532036,0.002590673575129463,0.007249103011312855,0.9983554403369417,859,0.5049047893825735,652,0.6243508366993653,244,0.823139065204847,554,0.6809001731102136
30,275949265,114.1878267,22.322802,0.03312209193045421,0.005535344989232167,0.0006476683937823658,0.03540435121681507,0.9890154815146238,259,0.8511252163877668,246,0.8586266589728794,901,0.2951529140219273,116,0.9336410848240047
31,276169638,114.1820916,22.2993992,0.011084549473958873,0.003071384460460302,0.0012953367875647315,0.01148129459314681,0.9966886060663002,898,0.482400461627236,464,0.7328332371609925,577,0.5744373918061165,382,0.7801500288517023
32,276169900,114.1810483,22.3144314,0.029742630431703027,0.00810413271397788,0.0006476683937823658,0.025166475334902207,0.9942229556375756,320,0.8159261396422389,139,0.9203693017888055,901,0.2951529140219273,176,0.8990190421234853
