component,strategy,target_fraction,fraction,n_removed,runs,edge_fraction_lost,node_fraction_lost,od_eff_norm,od_eff_norm_std,od_eff_norm_p025,od_eff_norm_p975,od_eff_loss,od_eff_loss_std,od_eff_loss_p025,od_eff_loss_p975,lscc_norm,lscc_norm_std,lscc_norm_p025,lscc_norm_p975,td_loss,td_loss_std,td_loss_p025,td_loss_p975,reachable_demand_share,reachable_demand_share_std,reachable_demand_share_p025,reachable_demand_share_p975
link,od_eff,0.18,0.18006318006318006,513,1,0.18006318006318006,0.0,0.047502372652206075,0.0,0.047502372652206075,0.047502372652206075,0.952497627347794,0.0,0.952497627347794,0.952497627347794,0.3296632124352332,0.0,0.3296632124352332,0.3296632124352332,2.9152523635065184,0.0,2.9152523635065184,2.9152523635065184,0.05886538066772564,0.0,0.05886538066772564,0.05886538066772564
link,od_eff,0.2,0.20007020007020007,570,1,0.20007020007020007,0.0,0.04214672736863492,0.0,0.04214672736863492,0.04214672736863492,0.9578532726313651,0.0,0.9578532726313651,0.9578532726313651,0.32189119170984454,0.0,0.32189119170984454,0.32189119170984454,2.9354778226609017,0.0,2.9354778226609017,2.9354778226609017,0.05137860738654278,0.0,0.05137860738654278,0.05137860738654278
link,od_eff,0.22,0.22007722007722008,627,1,0.22007722007722008,0.0,0.035609009858868994,0.0,0.035609009858868994,0.035609009858868994,0.964390990141131,0.0,0.964390990141131,0.964390990141131,0.25323834196891193,0.0,0.25323834196891193,0.25323834196891193,2.962822493798989,0.0,2.962822493798989,2.962822493798989,0.041464195106130725,0.0,0.041464195106130725,0.041464195106130725
link,od_eff,0.24,0.2400842400842401,684,1,0.2400842400842401,0.0,0.027336118963371094,0.0,0.027336118963371094,0.027336118963371094,0.9726638810366289,0.0,0.9726638810366289,0.9726638810366289,0.22215025906735753,0.0,0.22215025906735753,0.22215025906735753,2.9969480204058474,0.0,2.9969480204058474,2.9969480204058474,0.02890484723036086,0.0,0.02890484723036086,0.02890484723036086
link,od_eff,0.26,0.2600912600912601,741,1,0.2600912600912601,0.0,0.02135980071068831,0.0,0.02135980071068831,0.02135980071068831,0.9786401992893117,0.0,0.9786401992893117,0.9786401992893117,0.16386010362694303,0.0,0.16386010362694303,0.16386010362694303,3.0253746084062327,0.0,3.0253746084062327,3.0253746084062327,0.019033006581825624,0.0,0.019033006581825624,0.019033006581825624
link,od_eff,0.28,0.2800982800982801,798,1,0.2800982800982801,0.0,0.01627941671732462,0.0,0.01627941671732462,0.01627941671732462,0.9837205832826754,0.0,0.9837205832826754,0.9837205832826754,0.040803108808290155,0.0,0.040803108808290155,0.040803108808290155,3.046312681913028,0.0,3.046312681913028,3.046312681913028,0.011555076213207869,0.0,0.011555076213207869,0.011555076213207869
link,od_eff,0.3,0.3001053001053001,855,1,0.3001053001053001,0.0,0.01472809253849672,0.0,0.01472809253849672,0.01472809253849672,0.9852719074615033,0.0,0.9852719074615033,0.9852719074615033,0.040803108808290155,0.0,0.040803108808290155,0.040803108808290155,3.0516929130000787,0.0,3.0516929130000787,3.0516929130000787,0.009629721881393122,0.0,0.009629721881393122,0.009629721881393122
link,od_eff,0.32,0.3201123201123201,912,1,0.3201123201123201,0.0,0.012165366213990128,0.0,0.012165366213990128,0.012165366213990128,0.9878346337860099,0.0,0.9878346337860099,0.9878346337860099,0.02461139896373057,0.0,0.02461139896373057,0.02461139896373057,3.0603865314689926,0.0,3.0603865314689926,3.0603865314689926,0.0066319372749399095,0.0,0.0066319372749399095,0.0066319372749399095
link,od_eff,0.34,0.34011934011934014,969,1,0.34011934011934014,0.0,0.00649318291333988,0.0,0.00649318291333988,0.00649318291333988,0.9935068170866601,0.0,0.9935068170866601,0.9935068170866601,0.015544041450777202,0.0,0.015544041450777202,0.015544041450777202,3.0697888759034373,0.0,3.0697888759034373,3.0697888759034373,0.0034476333252823044,0.0,0.0034476333252823044,0.0034476333252823044
link,od_eff,0.36,0.3601263601263601,1026,1,0.3601263601263601,0.0,0.004767000435205526,0.0,0.004767000435205526,0.004767000435205526,0.9952329995647945,0.0,0.9952329995647945,0.9952329995647945,0.015544041450777202,0.0,0.015544041450777202,0.015544041450777202,3.072575484071652,0.0,3.072575484071652,3.072575484071652,0.0025241508707261402,0.0,0.0025241508707261402,0.0025241508707261402
link,od_eff,0.38,0.38013338013338016,1083,1,0.38013338013338016,0.0,0.002446859288712586,0.0,0.002446859288712586,0.002446859288712586,0.9975531407112874,0.0,0.9975531407112874,0.9975531407112874,0.015544041450777202,0.0,0.015544041450777202,0.015544041450777202,3.076660339962702,0.0,3.076660339962702,3.076660339962702,0.001151530941202118,0.0,0.001151530941202118,0.001151530941202118
link,od_eff,0.4,0.40014040014040014,1140,1,0.40014040014040014,0.0,0.0014860992036699573,0.0,0.0014860992036699573,0.0014860992036699573,0.9985139007963301,0.0,0.9985139007963301,0.9985139007963301,0.011010362694300517,0.0,0.011010362694300517,0.011010362694300517,3.078925856903153,0.0,3.078925856903153,3.078925856903153,0.0004035794754217895,0.0,0.0004035794754217895,0.0004035794754217895
link,odbc,0.0,0.0,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
link,odbc,0.02,0.020007020007020006,57,1,0.020007020007020006,0.0,0.8728037792895829,0.0,0.8728037792895829,0.8728037792895829,0.12719622071041714,0.0,0.12719622071041714,0.12719622071041714,0.9242227979274612,0.0,0.9242227979274612,0.9242227979274612,0.42396602890794627,0.0,0.42396602890794627,0.42396602890794627,0.9009197865118284,0.0,0.9009197865118284,0.9009197865118284
link,odbc,0.04,0.04001404001404001,114,1,0.04001404001404001,0.0,0.7636947878868005,0.0,0.7636947878868005,0.7636947878868005,0.23630521211319955,0.0,0.23630521211319955,0.23630521211319955,0.8588082901554404,0.0,0.8588082901554404,0.8588082901554404,0.8007775057012388,0.0,0.8007775057012388,0.8007775057012388,0.8283528401381217,0.0,0.8283528401381217,0.8283528401381217
link,odbc,0.06,0.06002106002106002,171,1,0.06002106002106002,0.0,0.726792790257751,0.0,0.726792790257751,0.726792790257751,0.273207209742249,0.0,0.273207209742249,0.273207209742249,0.8238341968911918,0.0,0.8238341968911918,0.8238341968911918,0.9613037309156386,0.0,0.9613037309156386,0.9613037309156386,0.7629194021176074,0.0,0.7629194021176074,0.7629194021176074
link,odbc,0.08,0.08002808002808003,228,1,0.08002808002808003,0.0,0.5702535956861798,0.0,0.5702535956861798,0.5702535956861798,0.42974640431382016,0.0,0.42974640431382016,0.42974640431382016,0.5382124352331606,0.0,0.5382124352331606,0.5382124352331606,1.7376763064625422,0.0,1.7376763064625422,1.7376763064625422,0.510608429164309,0.0,0.510608429164309,0.510608429164309
link,odbc,0.1,0.10003510003510004,285,1,0.10003510003510004,0.0,0.4512667214201138,0.0,0.4512667214201138,0.4512667214201138,0.5487332785798862,0.0,0.5487332785798862,0.5487332785798862,0.49481865284974097,0.0,0.49481865284974097,0.49481865284974097,2.0236896632841828,0.0,2.0236896632841828,2.0236896632841828,0.40250846216058955,0.0,0.40250846216058955,0.40250846216058955
link,odbc,0.12,0.12004212004212005,342,1,0.12004212004212005,0.0,0.4141431999808441,0.0,0.4141431999808441,0.4141431999808441,0.585856800019156,0.0,0.585856800019156,0.585856800019156,0.46567357512953367,0.0,0.46567357512953367,0.46567357512953367,2.228662251096669,0.0,2.228662251096669,2.228662251096669,0.3153935501027536,0.0,0.3153935501027536,0.3153935501027536
link,odbc,0.14,0.14004914004914004,399,1,0.14004914004914004,0.0,0.336294239987281,0.0,0.336294239987281,0.336294239987281,0.663705760012719,0.0,0.663705760012719,0.663705760012719,0.31476683937823835,0.0,0.31476683937823835,0.31476683937823835,2.5236207286840915,0.0,2.5236207286840915,2.5236207286840915,0.19780913422429677,0.0,0.19780913422429677,0.19780913422429677
link,odbc,0.16,0.16005616005616005,456,1,0.16005616005616005,0.0,0.32288556162230514,0.0,0.32288556162230514,0.32288556162230514,0.6771144383776948,0.0,0.6771144383776948,0.6771144383776948,0.28886010362694303,0.0,0.28886010362694303,0.28886010362694303,2.5752228827603325,0.0,2.5752228827603325,2.5752228827603325,0.18163677539303827,0.0,0.18163677539303827,0.18163677539303827
link,odbc,0.18,0.18006318006318006,513,1,0.18006318006318006,0.0,0.3130504437911826,0.0,0.3130504437911826,0.3130504437911826,0.6869495562088175,0.0,0.6869495562088175,0.6869495562088175,0.2869170984455959,0.0,0.2869170984455959,0.2869170984455959,2.6204958623232195,0.0,2.6204958623232195,2.6204958623232195,0.1698871185585752,0.0,0.1698871185585752,0.1698871185585752
link,odbc,0.2,0.20007020007020007,570,1,0.20007020007020007,0.0,0.27948739643160914,0.0,0.27948739643160914,0.27948739643160914,0.7205126035683909,0.0,0.7205126035683909,0.7205126035683909,0.19818652849740934,0.0,0.19818652849740934,0.19818652849740934,2.768109969750816,0.0,2.768109969750816,2.768109969750816,0.1113849987241966,0.0,0.1113849987241966,0.1113849987241966
link,odbc,0.22,0.22007722007722008,627,1,0.22007722007722008,0.0,0.263968427830622,0.0,0.263968427830622,0.263968427830622,0.736031572169378,0.0,0.736031572169378,0.736031572169378,0.07318652849740932,0.0,0.07318652849740932,0.07318652849740932,2.8593958857420683,0.0,2.8593958857420683,2.8593958857420683,0.0779704923331936,0.0,0.0779704923331936,0.0779704923331936
link,odbc,0.24,0.2400842400842401,684,1,0.2400842400842401,0.0,0.2524463910388295,0.0,0.2524463910388295,0.2524463910388295,0.7475536089611705,0.0,0.7475536089611705,0.7475536089611705,0.07124352331606218,0.0,0.07124352331606218,0.07124352331606218,2.8788554419410555,0.0,2.8788554419410555,2.8788554419410555,0.07338243749249168,0.0,0.07338243749249168,0.07338243749249168
link,odbc,0.26,0.2600912600912601,741,1,0.2600912600912601,0.0,0.21833075690083628,0.0,0.21833075690083628,0.21833075690083628,0.7816692430991637,0.0,0.7816692430991637,0.7816692430991637,0.06411917098445596,0.0,0.06411917098445596,0.06411917098445596,2.929055301985797,0.0,2.929055301985797,2.929055301985797,0.05212116274444817,0.0,0.05212116274444817,0.05212116274444817
link,odbc,0.28,0.2800982800982801,798,1,0.2800982800982801,0.0,0.21169922010363323,0.0,0.21169922010363323,0.21169922010363323,0.7883007798963668,0.0,0.7883007798963668,0.7883007798963668,0.048575129533678756,0.0,0.048575129533678756,0.048575129533678756,2.950184850713737,0.0,2.950184850713737,2.950184850713737,0.04357943468016026,0.0,0.04357943468016026,0.04357943468016026
link,odbc,0.3,0.3001053001053001,855,1,0.3001053001053001,0.0,0.19283725846424613,0.0,0.19283725846424613,0.19283725846424613,0.8071627415357538,0.0,0.8071627415357538,0.8071627415357538,0.042746113989637305,0.0,0.042746113989637305,0.042746113989637305,2.971011111442408,0.0,2.971011111442408,2.971011111442408,0.03705216504735158,0.0,0.03705216504735158,0.03705216504735158
