component,strategy,run,seed,target_fraction,fraction,n_removed,edge_fraction_lost,node_fraction_lost,od_eff,od_eff_norm,od_eff_loss,lscc,lscc_norm,penalized_total_distance,td_loss,reachable_demand_share
node,random,1,20360906,0.06,0.06001154068090017,104,0.11407511407511407,0.06001154068090017,0.0005066227839691915,0.7540961026931722,0.24590389730682782,0.727062896710906,0.8160621761658031,3146765529.875968,0.9987891168949083,0.7009190121622383
node,random,1,20360906,0.08,0.08020773225620312,139,0.15408915408915408,0.08020773225620312,0.00045221497613301046,0.6731113599149275,0.32688864008507246,0.6635891517599538,0.7448186528497409,3708074681.5640936,1.3553262064733493,0.5972799114033717
node,random,1,20360906,0.1,0.0998268897864974,173,0.18743418743418744,0.0998268897864974,0.00035530820694760487,0.5288679123645207,0.4711320876354793,0.5562608193883439,0.6243523316062176,4217802488.4531426,1.6790994216415922,0.5069004333737255
node,random,1,20360906,0.12,0.12002308136180034,208,0.22358722358722358,0.12002308136180034,0.00031752728489402765,0.47263189815776596,0.527368101842234,0.447201384881708,0.5019430051813472,4661515671.930231,1.9609409105407523,0.4269421698412555
node,random,1,20360906,0.14,0.1402192729371033,243,0.2597402597402597,0.1402192729371033,0.0002774987207109214,0.41305032148568416,0.5869496785143158,0.2815926139642239,0.3160621761658031,5225691210.400704,2.319298695894259,0.28447245840683844
node,random,1,20360906,0.16,0.15983843046739757,277,0.2916812916812917,0.15983843046739757,0.0002309552693611028,0.3437714884379351,0.656228511562065,0.07963069821119446,0.08937823834196892,5854331072.854049,2.7186034752267005,0.1223341147097618
node,random,1,20360906,0.18,0.18003462204270052,312,0.32643032643032643,0.18003462204270052,0.00018558133730561794,0.2762334573631489,0.7237665426368511,0.07616849394114253,0.08549222797927461,6010279091.243541,2.8176598551821943,0.08871627195687104
node,random,1,20360906,0.2,0.20023081361800346,347,0.3590733590733591,0.20023081361800346,0.00017701630391297698,0.26348460653132333,0.7365153934686767,0.06289671090594345,0.0705958549222798,6100691109.773757,2.8750885250207823,0.06913701456643172
node,random,1,20360906,0.22,0.21984997114829774,381,0.38996138996138996,0.21984997114829774,0.0001251955487495985,0.1863506308321626,0.8136493691678374,0.058280438545874204,0.06541450777202072,6250739801.51018,2.970397720828232,0.03631162984234893
node,random,1,20360906,0.24,0.2400461627236007,416,0.4190944190944191,0.2400461627236007,0.00011941921088313412,0.17775268772582833,0.8222473122741717,0.05135603000577034,0.05764248704663213,6283041304.615408,2.9909152624922344,0.02930061203397057
