component,strategy,run,target_fraction,fraction,n_removed,reachable_share,reach_loss,mean_m,median_m,p90_m,p95_m
link,lscc,0,0.38,0.38013338013338016,1083,0.16782439566546262,0.7035287579883301,876.2298029801324,0.0,2675.372000000004,7229.746
link,lscc,0,0.4,0.40014040014040014,1140,0.16782439566546262,0.7035287579883301,876.2298029801324,0.0,2675.372000000004,7229.746
link,od_eff,0,0.0,0.0,0,0.8713531536537927,0.0,1678.3658804209185,1813.3350000000003,2515.206,3245.7529999999997
link,od_eff,0,0.02,0.020007020007020006,57,0.7693803834398444,0.10197277021394835,1637.5121213434454,1687.8169999999998,2789.609000000001,2995.5060000000008
link,od_eff,0,0.04,0.04001404001404001,114,0.7190886357321479,0.15226451792164486,1766.7679316074186,1795.2835,3082.4430000000034,4128.325
link,od_eff,0,0.06,0.06002106002106002,171,0.6476799110864129,0.22367324256737986,1663.4574427284429,1712.0159999999998,2885.844,3319.890000000001
link,od_eff,0,0.08,0.08002808002808003,228,0.639899972214504,0.23145318143928872,1671.2737003907948,1728.295,2890.768000000001,3525.806800000001
link,od_eff,0,0.1,0.10003510003510004,285,0.6251736593498194,0.24617949430397335,1678.5762497777778,1712.002,2890.768000000001,3860.192
link,od_eff,0,0.12,0.12004212004212005,342,0.5965545984995833,0.2747985551542095,1676.1942738705172,1661.2869999999998,3056.0060000000003,4004.267899999987
link,od_eff,0,0.14,0.14004914004914004,399,0.5782161711586552,0.29313698249513753,1882.09409899087,2067.757,3198.72,4266.533
link,od_eff,0,0.16,0.16005616005616005,456,0.4831897749374826,0.3881633787163101,1914.1492133410004,1984.8980000000004,3570.919000000001,4266.533
link,od_eff,0,0.18,0.18006318006318006,513,0.4737427063073076,0.39761044734648515,1909.6877630498534,2042.2040000000004,3545.6749999999997,4266.533
link,od_eff,0,0.2,0.20007020007020007,570,0.4423450958599611,0.4290080577938316,1993.118560929648,2228.5319999999992,3706.7089000000014,4494.708
link,od_eff,0,0.22,0.22007722007722008,627,0.4087246457349264,0.46262850791886634,2053.455660774983,2563.995,3708.5209999999997,4494.708
link,od_eff,0,0.24,0.2400842400842401,684,0.126146151708808,0.7452070019449848,3.2704691629955946,0.0,0.0,0.0
link,od_eff,0,0.26,0.2600912600912601,741,0.126146151708808,0.7452070019449848,3.2704691629955946,0.0,0.0,0.0
link,od_eff,0,0.28,0.2800982800982801,798,0.126146151708808,0.7452070019449848,3.2704691629955946,0.0,0.0,0.0
link,od_eff,0,0.3,0.3001053001053001,855,0.12586829674909697,0.7454848569046958,2.817205298013245,0.0,0.0,0.0
link,od_eff,0,0.32,0.3201123201123201,912,0.12586829674909697,0.7454848569046958,2.817205298013245,0.0,0.0,0.0
link,od_eff,0,0.34,0.34011934011934014,969,0.12586829674909697,0.7454848569046958,2.817205298013245,0.0,0.0,0.0
link,od_eff,0,0.36,0.3601263601263601,1026,0.12586829674909697,0.7454848569046958,2.817205298013245,0.0,0.0,0.0
link,od_eff,0,0.38,0.38013338013338016,1083,0.12531258682967492,0.7460405668241178,2.7697871396895786,0.0,0.0,0.0
link,od_eff,0,0.4,0.40014040014040014,1140,0.12531258682967492,0.7460405668241178,2.7697871396895786,0.0,0.0,0.0
link,odbc,0,0.0,0.0,0,0.8713531536537927,0.0,1678.3658804209185,1813.3350000000003,2515.206,3245.7529999999997
link,odbc,0,0.02,0.020007020007020006,57,0.8599611003056404,0.011392053348152298,1745.9488423263329,1875.4920000000004,2789.609000000001,3319.890000000001
link,odbc,0,0.04,0.04001404001404001,114,0.8396776882467352,0.03167546540705757,1960.6381201191261,2078.562,3333.040800000001,4127.087499999995
link,odbc,0,0.06,0.06002106002106002,171,0.8341205890525146,0.037232564601278106,2278.715950033311,2257.304,4267.586200000001,4839.011
link,odbc,0,0.08,0.08002808002808003,228,0.7943873298138372,0.07696582383995554,2741.6923301853794,2545.281,5124.899000000001,6120.447
link,odbc,0,0.1,0.10003510003510004,285,0.7168657960544595,0.15448735759933319,2917.888799224806,2949.5355,5449.320099999998,6606.988
link,odbc,0,0.12,0.12004212004212005,342,0.6882467352042234,0.18310641844956932,2876.1321598708114,2907.7110000000007,5395.699400000005,6606.988
link,odbc,0,0.14,0.14004914004914004,399,0.648235621005835,0.22311753264795775,2925.7016682383196,3125.549,5463.794999999999,6704.590000000002
link,odbc,0,0.16,0.16005616005616005,456,0.6407335370936371,0.23061961656015562,2931.103335212489,3125.549,5776.0019999999995,6719.665
link,odbc,0,0.18,0.18006318006318006,513,0.6321200333425951,0.2392331203111976,2930.2466061538457,3125.549,5869.83,6719.665
link,odbc,0,0.2,0.20007020007020007,570,0.5815504306751875,0.2898027229786052,2759.374304347826,2914.947,5319.201,6719.665
link,odbc,0,0.22,0.22007722007722008,627,0.3889969435954432,0.48235621005834955,2382.6146557142856,2353.4429999999998,5520.2159999999985,5621.374999999998
link,odbc,0,0.24,0.2400842400842401,684,0.38316198944151153,0.4881911642122812,2562.8939021029732,2571.7090000000003,5520.2159999999985,5621.374999999998
