component,strategy,target_fraction,fraction,n_removed,runs,reachable_share,reachable_share_std,reachable_share_p025,reachable_share_p975,reach_loss,reach_loss_std,reach_loss_p025,reach_loss_p975,mean_m,mean_m_std,mean_m_p025,mean_m_p975,median_m,median_m_std,median_m_p025,median_m_p975,p90_m,p90_m_std,p90_m_p025,p90_m_p975,p95_m,p95_m_std,p95_m_p025,p95_m_p975
link,lscc,0.2,0.20007020007020007,570,1,0.20116699083078632,0.0,0.20116699083078632,0.20116699083078632,0.6701861628230064,0.0,0.6701861628230064,0.6701861628230064,942.3500165745857,0.0,942.3500165745857,942.3500165745857,0.0,0.0,0.0,0.0,2336.498,0.0,2336.498,2336.498,7229.746,0.0,7229.746,7229.746
link,lscc,0.22,0.22007722007722008,627,1,0.20116699083078632,0.0,0.20116699083078632,0.20116699083078632,0.6701861628230064,0.0,0.6701861628230064,0.6701861628230064,942.3500165745857,0.0,942.3500165745857,942.3500165745857,0.0,0.0,0.0,0.0,2336.498,0.0,2336.498,2336.498,7229.746,0.0,7229.746,7229.746
link,lscc,0.24,0.2400842400842401,684,1,0.20116699083078632,0.0,0.20116699083078632,0.20116699083078632,0.6701861628230064,0.0,0.6701861628230064,0.6701861628230064,942.3500165745857,0.0,942.3500165745857,942.3500165745857,0.0,0.0,0.0,0.0,2336.498,0.0,2336.498,2336.498,7229.746,0.0,7229.746,7229.746
link,lscc,0.26,0.2600912600912601,741,1,0.1928313420394554,0.0,0.1928313420394554,0.1928313420394554,0.6785218116143373,0.0,0.6785218116143373,0.6785218116143373,919.2881455331412,0.0,919.2881455331412,919.2881455331412,0.0,0.0,0.0,0.0,2336.498,0.0,2336.498,2336.498,7229.746,0.0,7229.746,7229.746
link,lscc,0.28,0.2800982800982801,798,1,0.1900527924423451,0.0,0.1900527924423451,0.1900527924423451,0.6813003612114477,0.0,0.6813003612114477,0.6813003612114477,921.2335131578948,0.0,921.2335131578948,921.2335131578948,0.0,0.0,0.0,0.0,2336.498,0.0,2336.498,2336.498,7229.746,0.0,7229.746,7229.746
link,lscc,0.3,0.3001053001053001,855,1,0.1900527924423451,0.0,0.1900527924423451,0.1900527924423451,0.6813003612114477,0.0,0.6813003612114477,0.6813003612114477,921.2335131578948,0.0,921.2335131578948,921.2335131578948,0.0,0.0,0.0,0.0,2336.498,0.0,2336.498,2336.498,7229.746,0.0,7229.746,7229.746
link,lscc,0.32,0.3201123201123201,912,1,0.1881078077243679,0.0,0.1881078077243679,0.1881078077243679,0.6832453459294249,0.0,0.6832453459294249,0.6832453459294249,910.2389320531757,0.0,910.2389320531757,910.2389320531757,0.0,0.0,0.0,0.0,2336.498,0.0,2336.498,2336.498,7229.746,0.0,7229.746,7229.746
link,lscc,0.34,0.34011934011934014,969,1,0.18699638788552375,0.0,0.18699638788552375,0.18699638788552375,0.684356765768269,0.0,0.684356765768269,0.684356765768269,907.6448023774146,0.0,907.6448023774146,907.6448023774146,0.0,0.0,0.0,0.0,2336.498,0.0,2336.498,2336.498,7229.746,0.0,7229.746,7229.746
link,lscc,0.36,0.3601263601263601,1026,1,0.16810225062517367,0.0,0.16810225062517367,0.16810225062517367,0.703250903028619,0.0,0.703250903028619,0.703250903028619,874.9530214876032,0.0,874.9530214876032,874.9530214876032,0.0,0.0,0.0,0.0,2666.575000000002,0.0,2666.575000000002,2666.575000000002,7229.746,0.0,7229.746,7229.746
link,lscc,0.38,0.38013338013338016,1083,1,0.16782439566546262,0.0,0.16782439566546262,0.16782439566546262,0.7035287579883301,0.0,0.7035287579883301,0.7035287579883301,876.2298029801324,0.0,876.2298029801324,876.2298029801324,0.0,0.0,0.0,0.0,2675.372000000004,0.0,2675.372000000004,2675.372000000004,7229.746,0.0,7229.746,7229.746
link,lscc,0.4,0.40014040014040014,1140,1,0.16782439566546262,0.0,0.16782439566546262,0.16782439566546262,0.7035287579883301,0.0,0.7035287579883301,0.7035287579883301,876.2298029801324,0.0,876.2298029801324,876.2298029801324,0.0,0.0,0.0,0.0,2675.372000000004,0.0,2675.372000000004,2675.372000000004,7229.746,0.0,7229.746,7229.746
link,od_eff,0.0,0.0,0,1,0.8713531536537927,0.0,0.8713531536537927,0.8713531536537927,0.0,0.0,0.0,0.0,1678.3658804209185,0.0,1678.3658804209185,1678.3658804209185,1813.3350000000003,0.0,1813.3350000000003,1813.3350000000003,2515.206,0.0,2515.206,2515.206,3245.7529999999997,0.0,3245.7529999999997,3245.7529999999997
link,od_eff,0.02,0.020007020007020006,57,1,0.7693803834398444,0.0,0.7693803834398444,0.7693803834398444,0.10197277021394835,0.0,0.10197277021394835,0.10197277021394835,1637.5121213434454,0.0,1637.5121213434454,1637.5121213434454,1687.8169999999998,0.0,1687.8169999999998,1687.8169999999998,2789.609000000001,0.0,2789.609000000001,2789.609000000001,2995.5060000000008,0.0,2995.5060000000008,2995.5060000000008
link,od_eff,0.04,0.04001404001404001,114,1,0.7190886357321479,0.0,0.7190886357321479,0.7190886357321479,0.15226451792164486,0.0,0.15226451792164486,0.15226451792164486,1766.7679316074186,0.0,1766.7679316074186,1766.7679316074186,1795.2835,0.0,1795.2835,1795.2835,3082.4430000000034,0.0,3082.4430000000034,3082.4430000000034,4128.325,0.0,4128.325,4128.325
link,od_eff,0.06,0.06002106002106002,171,1,0.6476799110864129,0.0,0.6476799110864129,0.6476799110864129,0.22367324256737986,0.0,0.22367324256737986,0.22367324256737986,1663.4574427284429,0.0,1663.4574427284429,1663.4574427284429,1712.0159999999998,0.0,1712.0159999999998,1712.0159999999998,2885.844,0.0,2885.844,2885.844,3319.890000000001,0.0,3319.890000000001,3319.890000000001
link,od_eff,0.08,0.08002808002808003,228,1,0.639899972214504,0.0,0.639899972214504,0.639899972214504,0.23145318143928872,0.0,0.23145318143928872,0.23145318143928872,1671.2737003907948,0.0,1671.2737003907948,1671.2737003907948,1728.295,0.0,1728.295,1728.295,2890.768000000001,0.0,2890.768000000001,2890.768000000001,3525.806800000001,0.0,3525.806800000001,3525.806800000001
