node_id,osm_id,lon,lat,in_degree,out_degree,undir_deg,geometry
535,990120650,114.1837681,22.3271974,1,2,3,POINT (114.183768 22.327197)
536,990120665,114.181175,22.3020648,1,2,3,POINT (114.181175 22.302065)
537,990625708,114.1887377,22.3025382,2,1,3,POINT (114.188738 22.302538)
538,990625730,114.1885972,22.3028217,2,2,4,POINT (114.188597 22.302822)
539,990625764,114.1802608,22.2995404,1,2,3,POINT (114.180261 22.29954)
540,990625795,114.1884138,22.3028124,2,1,3,POINT (114.188414 22.302812)
541,990625811,114.1884625,22.3030127,1,2,3,POINT (114.188462 22.303013)
542,990625873,114.1805796,22.2992901,2,1,3,POINT (114.18058 22.29929)
543,990625879,114.1865275,22.3009591,2,2,4,POINT (114.186528 22.300959)
544,991294657,114.1573622,22.3294386,2,3,4,POINT (114.157362 22.329439)
545,991294702,114.1637501,22.3211415,2,2,4,POINT (114.16375 22.321142)
546,991294801,114.1703054,22.311819,1,2,2,POINT (114.170305 22.311819)
547,991294805,114.1758732,22.2995765,2,1,3,POINT (114.175873 22.299576)
548,991294824,114.1637351,22.3281631,2,2,4,POINT (114.163735 22.328163)
549,991294876,114.1693935,22.3159408,1,3,4,POINT (114.169394 22.315941)
550,991294879,114.1582224,22.3287618,2,2,4,POINT (114.158222 22.328762)
551,991294886,114.1599591,22.3289216,2,1,3,POINT (114.159959 22.328922)
552,991294889,114.1648729,22.3215084,2,2,3,POINT (114.164873 22.321508)
553,991294942,114.1698294,22.3107556,1,2,3,POINT (114.169829 22.310756)
554,991294970,114.158623,22.3292078,2,2,4,POINT (114.158623 22.329208)
555,991294995,114.1641131,22.3271907,1,2,3,POINT (114.164113 22.327191)
556,991295018,114.1591683,22.3280228,2,2,4,POINT (114.159168 22.328023)
557,991295054,114.1652053,22.321935,1,0,1,POINT (114.165205 22.321935)
558,991295076,114.1633726,22.3277584,1,2,3,POINT (114.163373 22.327758)
559,991295090,114.1595635,22.328474,2,2,4,POINT (114.159564 22.328474)
560,991295126,114.1703012,22.3107915,2,2,4,POINT (114.170301 22.310792)
561,998046345,114.1624854,22.328455,2,1,3,POINT (114.162485 22.328455)
562,998046347,114.1628411,22.3288542,2,2,4,POINT (114.162841 22.328854)
563,1029866980,114.1799237,22.2999156,2,2,3,POINT (114.179924 22.299916)
564,1107287994,114.1726054,22.3180242,2,1,3,POINT (114.172605 22.318024)
565,1107287995,114.1735613,22.3177122,2,3,3,POINT (114.173561 22.317712)
566,1107287997,114.1727977,22.3170746,1,0,1,POINT (114.172798 22.317075)
567,1139326589,114.1746572,22.3251029,2,1,3,POINT (114.174657 22.325103)
568,1139326660,114.1762494,22.3254575,2,1,3,POINT (114.176249 22.325458)
569,1139441035,114.1832969,22.3206796,1,1,1,POINT (114.183297 22.32068)
570,1139441156,114.1833374,22.3227398,1,1,1,POINT (114.183337 22.32274)
571,1139904705,114.1782117,22.3214603,2,1,3,POINT (114.178212 22.32146)
572,1139904730,114.1791702,22.3189331,1,2,3,POINT (114.17917 22.318933)
573,1140062891,114.1781885,22.3257053,2,1,3,POINT (114.178188 22.325705)
574,1140062911,114.1797771,22.3286828,3,3,3,POINT (114.179777 22.328683)
575,1140062928,114.1784192,22.3251361,2,1,3,POINT (114.178419 22.325136)
576,1140062938,114.1782581,22.3245191,1,2,3,POINT (114.178258 22.324519)
577,1140062960,114.1784146,22.3276533,2,2,3,POINT (114.178415 22.327653)
578,1140062985,114.1778509,22.325658,2,1,3,POINT (114.177851 22.325658)
579,1140063015,114.1785913,22.3272501,1,2,3,POINT (114.178591 22.32725)
580,1141756868,114.1788876,22.3325386,2,1,3,POINT (114.178888 22.332539)
581,1141792825,114.1800269,22.3260418,2,1,3,POINT (114.180027 22.326042)
582,1141792828,114.179194,22.3258934,1,2,3,POINT (114.179194 22.325893)
583,1141792833,114.1782665,22.3253631,1,3,4,POINT (114.178266 22.325363)
584,1141792836,114.1785292,22.3261426,2,1,3,POINT (114.178529 22.326143)
585,1141792839,114.1785024,22.3253739,2,1,3,POINT (114.178502 22.325374)
586,1141792843,114.1783989,22.3257314,2,2,4,POINT (114.178399 22.325731)
587,1141935427,114.1785438,22.3289449,2,1,3,POINT (114.178544 22.328945)
588,1141935440,114.1783702,22.3272456,2,1,3,POINT (114.17837 22.327246)
589,1151084790,114.1738083,22.3163915,1,2,3,POINT (114.173808 22.316392)
590,1151084802,114.1706023,22.3130352,2,2,4,POINT (114.170602 22.313035)
591,1151084807,114.1738783,22.3201889,3,1,4,POINT (114.173878 22.320189)
592,1151084818,114.1696932,22.317427,1,2,3,POINT (114.169693 22.317427)
593,1151084822,114.1706182,22.3129467,2,2,4,POINT (114.170618 22.312947)
594,1151084825,114.1702952,22.31455,2,2,4,POINT (114.170295 22.31455)
595,1151084826,114.1681252,22.3251251,2,1,3,POINT (114.168125 22.325125)
596,1151084837,114.1694304,22.3128333,2,2,4,POINT (114.16943 22.312833)
597,1151084843,114.1686574,22.3225347,2,2,4,POINT (114.168657 22.322535)
598,1151084845,114.1691199,22.3143339,1,2,3,POINT (114.16912 22.314334)
599,1151084846,114.1721629,22.3141895,2,1,3,POINT (114.172163 22.31419)
600,1151084855,114.1681879,22.3141569,0,2,2,POINT (114.168188 22.314157)
601,1151084858,114.174672,22.31737,2,2,3,POINT (114.174672 22.31737)
602,1151084860,114.16932,22.319293,2,2,4,POINT (114.16932 22.319293)
603,1151084864,114.1697105,22.3144402,2,2,4,POINT (114.16971 22.31444)
604,1151084876,114.1707016,22.3130527,2,2,4,POINT (114.170702 22.313053)
605,1151084879,114.1687615,22.3220452,2,1,3,POINT (114.168762 22.322045)
606,1151084896,114.1734082,22.3158381,1,2,3,POINT (114.173408 22.315838)
607,1151084898,114.1684974,22.3126662,1,2,3,POINT (114.168497 22.312666)
608,1151084911,114.1689663,22.3127529,2,2,4,POINT (114.168966 22.312753)
609,1151084917,114.1713307,22.3131762,1,2,3,POINT (114.171331 22.313176)
610,1151084930,114.169976,22.3160657,2,1,3,POINT (114.169976 22.316066)
611,1151084934,114.1701253,22.3153623,2,1,3,POINT (114.170125 22.315362)
612,1151084936,114.1689995,22.3208218,2,2,4,POINT (114.169 22.320822)
613,1152660758,114.1771543,22.321102,2,1,3,POINT (114.177154 22.321102)
614,1152660765,114.1771417,22.3209452,3,3,6,POINT (114.177142 22.320945)
615,1152660784,114.1752488,22.3204489,1,2,3,POINT (114.175249 22.320449)
616,1152660823,114.1768942,22.3205146,1,2,3,POINT (114.176894 22.320515)
617,1152660881,114.1805246,22.3225762,1,2,3,POINT (114.180525 22.322576)
618,1152803555,114.1665742,22.3290186,1,2,3,POINT (114.166574 22.329019)
619,1152803565,114.1674432,22.3269665,1,2,3,POINT (114.167443 22.326966)
620,1152803568,114.1662947,22.3295968,2,1,3,POINT (114.166295 22.329597)
621,1152803582,114.1665477,22.3292635,2,1,3,POINT (114.166548 22.329264)
622,1152803583,114.1673026,22.3270625,2,1,3,POINT (114.167303 22.327062)
623,1152803584,114.1668228,22.3299548,3,3,4,POINT (114.166823 22.329955)
624,1152803585,114.1678196,22.3266239,2,1,2,POINT (114.16782 22.326624)
625,1152803591,114.1666189,22.3303628,1,1,1,POINT (114.166619 22.330363)
626,1152803593,114.1679131,22.3264821,2,2,4,POINT (114.167913 22.326482)
627,1152803594,114.1663123,22.329742,1,2,3,POINT (114.166312 22.329742)
628,1152803601,114.1667902,22.328582,1,2,3,POINT (114.16679 22.328582)
629,1152803606,114.1672992,22.327378,2,1,3,POINT (114.167299 22.327378)
630,1152803608,114.1671579,22.3300945,1,1,1,POINT (114.167158 22.330094)
631,1152803609,114.1678936,22.3278607,3,3,3,POINT (114.167894 22.327861)
632,1152803610,114.1671387,22.327142,2,2,4,POINT (114.167139 22.327142)
633,1152824573,114.166009,22.326417,2,2,4,POINT (114.166009 22.326417)
634,1152824589,114.1636894,22.3252765,2,3,4,POINT (114.163689 22.325276)
635,1152824595,114.1618981,22.3260425,2,1,3,POINT (114.161898 22.326042)
636,1152824596,114.1634107,22.3262613,1,2,3,POINT (114.163411 22.326261)
637,1152824612,114.1641073,22.3257314,1,2,3,POINT (114.164107 22.325731)
638,1152824614,114.1651644,22.3263831,2,1,3,POINT (114.165164 22.326383)
639,1152824615,114.1633083,22.326335,2,3,5,POINT (114.163308 22.326335)
640,1152824625,114.1618911,22.3255616,2,1,3,POINT (114.161891 22.325562)
641,1158360121,114.1732085,22.2948456,1,2,3,POINT (114.173208 22.294846)
642,1158360123,114.1732915,22.2946787,2,1,3,POINT (114.173292 22.294679)
643,1158360124,114.1748094,22.2952356,1,2,3,POINT (114.174809 22.295236)
644,1158360140,114.1705168,22.2954972,2,2,4,POINT (114.170517 22.295497)
645,1158360142,114.1755844,22.2956686,2,1,3,POINT (114.175584 22.295669)
646,1158360147,114.1706914,22.2955039,2,1,3,POINT (114.170691 22.295504)
647,1158360153,114.1752283,22.2956668,2,1,3,POINT (114.175228 22.295667)
648,1158360165,114.1704144,22.2955259,2,1,3,POINT (114.170414 22.295526)
649,1158360166,114.1703027,22.2959039,1,2,3,POINT (114.170303 22.295904)
650,1158360169,114.175347,22.2958229,1,2,3,POINT (114.175347 22.295823)
651,1158360177,114.1748799,22.2949943,2,1,3,POINT (114.17488 22.294994)
652,1161863701,114.1652021,22.3235046,2,2,4,POINT (114.165202 22.323505)
653,1161863708,114.165218,22.3234083,2,2,4,POINT (114.165218 22.323408)
654,1161863731,114.1683547,22.3239432,2,2,4,POINT (114.168355 22.323943)
655,1161863736,114.1667559,22.3236626,2,2,4,POINT (114.166756 22.323663)
656,1161863778,114.1651062,22.3233898,2,2,4,POINT (114.165106 22.32339)
657,1161863878,114.1700962,22.3243985,0,1,1,POINT (114.170096 22.324398)
658,1161863894,114.1720864,22.3252409,1,2,3,POINT (114.172086 22.325241)
659,1161863901,114.1696829,22.3241689,1,2,3,POINT (114.169683 22.324169)
660,1161863909,114.1688641,22.3240294,1,2,3,POINT (114.168864 22.324029)
661,1161863948,114.1650842,22.3234924,2,2,4,POINT (114.165084 22.323492)
662,1161863963,114.1705609,22.3249701,1,2,3,POINT (114.170561 22.32497)
663,1161864003,114.1734227,22.3249547,1,0,1,POINT (114.173423 22.324955)
664,1161864048,114.1695296,22.3242968,2,1,3,POINT (114.16953 22.324297)
665,1161864092,114.1700513,22.3242325,2,1,3,POINT (114.170051 22.324232)
666,1161864158,114.1677567,22.3240511,2,1,3,POINT (114.167757 22.324051)
667,1161864163,114.168485,22.3239648,2,2,4,POINT (114.168485 22.323965)
668,1161864166,114.1706648,22.3243375,2,2,4,POINT (114.170665 22.324338)
669,1161864169,114.1666308,22.3237524,3,2,5,POINT (114.166631 22.323752)
670,1162875755,114.1664069,22.317756,2,1,3,POINT (114.166407 22.317756)
671,1162875756,114.1673226,22.3170632,1,2,3,POINT (114.167323 22.317063)
672,1162875763,114.1662822,22.3264279,2,1,3,POINT (114.166282 22.326428)
673,1162875765,114.1672629,22.3160848,2,3,4,POINT (114.167263 22.316085)
674,1162875766,114.1726227,22.3198547,2,2,4,POINT (114.172623 22.319855)
675,1162875769,114.1674394,22.3153086,1,1,1,POINT (114.167439 22.315309)
676,1162875771,114.1725978,22.3199614,2,1,3,POINT (114.172598 22.319961)
677,1166348436,114.1639611,22.3325603,1,0,1,POINT (114.163961 22.33256)
678,1166348439,114.1655855,22.3305237,2,1,3,POINT (114.165586 22.330524)
679,1166348454,114.1658703,22.3305439,2,2,4,POINT (114.16587 22.330544)
680,1166348471,114.1643475,22.3321453,2,1,3,POINT (114.164348 22.332145)
681,1166348480,114.165806,22.3305043,2,2,4,POINT (114.165806 22.330504)
682,1166348485,114.1661563,22.3308424,1,2,3,POINT (114.166156 22.330842)
683,1166348488,114.1650876,22.3313216,2,2,4,POINT (114.165088 22.331322)
684,1166348496,114.1643779,22.3322416,1,2,3,POINT (114.164378 22.332242)
685,1166348512,114.165719,22.3319323,2,2,4,POINT (114.165719 22.331932)
686,1167986940,114.17011,22.3117863,1,0,1,POINT (114.17011 22.311786)
687,1168066104,114.1662865,22.3183644,2,1,3,POINT (114.166286 22.318364)
688,1168066109,114.1660386,22.3188149,2,1,3,POINT (114.166039 22.318815)
689,1168066118,114.1661744,22.3188268,1,2,3,POINT (114.166174 22.318827)
690,1168183627,114.1680865,22.3206856,1,2,3,POINT (114.168086 22.320686)
691,1168183637,114.1712842,22.3212697,2,2,4,POINT (114.171284 22.32127)
692,1168183668,114.1682046,22.3200875,2,2,4,POINT (114.168205 22.320088)
693,1168183728,114.1683979,22.3191379,2,1,3,POINT (114.168398 22.319138)
694,1168183731,114.1695647,22.3209195,1,2,3,POINT (114.169565 22.32092)
695,1168183735,114.1685306,22.3201464,0,1,1,POINT (114.168531 22.320146)
696,1168183739,114.1633208,22.3184081,2,2,4,POINT (114.163321 22.318408)
697,1168183745,114.167935,22.3200383,2,1,3,POINT (114.167935 22.320038)
698,1168183774,114.1702304,22.3209829,1,0,1,POINT (114.17023 22.320983)
699,1168315919,114.1669625,22.3128275,1,2,3,POINT (114.166962 22.312828)
700,1168315922,114.1668237,22.3153246,2,1,3,POINT (114.166824 22.315325)
701,1168315927,114.1666513,22.3124051,2,1,3,POINT (114.166651 22.312405)
702,1168315940,114.1608164,22.3262635,2,2,4,POINT (114.160816 22.326264)
703,1168315946,114.1640085,22.3119808,1,2,3,POINT (114.164008 22.311981)
704,1168315954,114.1605455,22.3262373,2,2,4,POINT (114.160546 22.326237)
