link_id,from_node,to_node,u_osm,v_osm,edge_key,osm_way,name,highway,oneway,length_m,lanes,maxspeed,ref,access,bridge,tunnel,geometry
2169,1304,1386,4844940406,5103929473,0,102826326,柯士甸道 Austin Road,secondary,True,59.341,2,,,,,,"LINESTRING (114.171157 22.303241, 114.171602 22.303262, 114.171658 22.303266, 114.171733 22.303269)"
2170,1304,952,4844940406,1625209863,0,102821077;149555150,庇利金街 Pilkem Street,residential,True,218.24499999999998,1,,,,,,"LINESTRING (114.171157 22.303241, 114.171172 22.30327, 114.171184 22.303309, 114.171185 22.303321, 114.171187 22.303347, 114.17114 22.304293, 114.171137 22.304349, 114.171136 22.304403, 114.171125 22.305125, 114.171122 22.305197)"
2171,1305,7,4844962258,33476495,0,636302493,廣東道 Canton Road,primary,True,9.541,3,,,,,,"LINESTRING (114.167967 22.302938, 114.167957 22.303023)"
2172,1305,1560,4844962258,7328499113,0,621378914;784464003,柯士甸道西 Austin Road West,primary,True,88.61999999999999,2,,,,,,"LINESTRING (114.167967 22.302938, 114.167784 22.302925, 114.167275 22.302878, 114.167111 22.302853)"
2173,1306,1428,4844962261,5299116276,0,1427306720;1427306721;859737028;548524582;773081257;773081258;784464010;784464013;859737022;859737023;528677147;528677149;1427306718;1427306719,連翔道地下行車道 Lin Cheung Road underpass,primary,True,993.8639999999999,2;1,50,,,,yes,"LINESTRING (114.166723 22.302807, 114.16642 22.30272, 114.166242 22.302698, 114.166113 22.302683, 114.166022 22.302674, 114.165523 22.302616, 114.165302 22.302582, 114.165226 22.30257, 114.164846 22.302515, 114.164683 22.3025, 114.164567 22.302495, 114.164259 22.3025, 114.163948 22.302577, 114.163814 22.302674, 114.16369 22.302835, 114.163639 22.303044, 114.163633 22.303344, 114.16366 22.303897, 114.163689 22.304798, 114.163717 22.305067, 114.163798 22.305369, 114.163825 22.305611, 114.163834 22.305897, 114.163762 22.307454, 114.163716 22.308475, 114.163707 22.308545, 114.163694 22.308625, 114.163658 22.308787)"
2174,1306,1416,4844962261,5137162805,0,492477353;859737011;590545068;528677141,柯士甸道西 Austin Road West,secondary,True,290.28099999999995,2;3,,,,,yes,"LINESTRING (114.166723 22.302807, 114.166424 22.302806, 114.166242 22.302787, 114.166106 22.302778, 114.166009 22.302769, 114.164059 22.302582, 114.163954 22.302571, 114.163914 22.302567)"
2175,1307,100,4846202878,308473861,0,842068753,衙前圍道 Nga Tsin Wai Road,tertiary,True,5.538,1,,,,,,"LINESTRING (114.191502 22.328841, 114.191448 22.328839)"
2176,1307,924,4846202878,1458379725,0,152360047,打鼓嶺道 Tak Ku Ling Road,residential,False,54.644,2,,,,,,"LINESTRING (114.191502 22.328841, 114.1915 22.328798, 114.191483 22.32835)"
2177,1308,1189,4846202879,1651828028,0,492632942,打鼓嶺道 Tak Ku Ling Road,tertiary,True,185.55499999999995,2,,,,,,"LINESTRING (114.1915 22.328907, 114.191503 22.328987, 114.191508 22.329103, 114.19151 22.32916, 114.191542 22.329968, 114.191562 22.330471, 114.191563 22.330494, 114.191563 22.330512, 114.191561 22.330575)"
2178,1309,1307,4846202881,4846202878,0,125509995,衙前圍道 Nga Tsin Wai Road,tertiary,True,4.557,1,,,,,,"LINESTRING (114.191546 22.32884, 114.191502 22.328841)"
2179,1309,1308,4846202881,4846202879,0,492632941,打鼓嶺道 Tak Ku Ling Road,tertiary_link,True,8.93,1,,,,,,"LINESTRING (114.191546 22.32884, 114.191518 22.32887, 114.1915 22.328907)"
2180,1310,1311,4848211641,4848211645,0,492853203,,primary_link,True,33.986999999999995,1,,,,,,"LINESTRING (114.170409 22.294631, 114.170463 22.294676, 114.170502 22.294721, 114.170532 22.294765, 114.170565 22.294822, 114.17059 22.294882)"
2181,1310,1094,4848211641,1649047644,0,636334244,梳士巴利道 Salisbury Road,secondary,True,24.538,4,50,,,,,"LINESTRING (114.170409 22.294631, 114.170547 22.294654, 114.170645 22.294664)"
2182,1311,648,4848211645,1158360165,0,636334245,九龍公園徑 Kowloon Park Drive,primary,True,73.822,3,,,,,,"LINESTRING (114.17059 22.294882, 114.170438 22.29544, 114.170414 22.295526)"
2183,1312,347,4848365922,568273492,0,767474163,九龍城迴旋處 Kowloon City Roundabout,secondary,True,26.439,3,,,,,,"LINESTRING (114.189552 22.327754, 114.189805 22.327792)"
2184,1313,1314,4856147006,4856147008,0,150595707,蘭開夏道 Lancashire Road,tertiary,False,7.253,,,,,,,"LINESTRING (114.180808 22.330259, 114.180737 22.330262)"
2185,1313,246,4856147006,394176291,0,101294735,牛津道 Oxford Road,residential,True,156.925,,,,,,,"LINESTRING (114.180808 22.330259, 114.180801 22.330149, 114.180753 22.329385, 114.180727 22.328958, 114.180759 22.328854)"
2186,1313,244,4856147006,394176283,0,150595707,蘭開夏道 Lancashire Road,tertiary,False,126.518,,,,,,,"LINESTRING (114.180808 22.330259, 114.18096 22.330251, 114.181395 22.330228, 114.18144 22.330226, 114.181857 22.330204, 114.182036 22.330195)"
2187,1314,1313,4856147008,4856147006,0,150595707,蘭開夏道 Lancashire Road,tertiary,False,7.253,,,,,,,"LINESTRING (114.180737 22.330262, 114.180808 22.330259)"
