grid_id,x_hk80,y_hk80,lon,lat,node_id,snap_dist_m,valid_origin,reachable,nearest_hospital_id,nearest_hospital,nearest_hospital_tc,distance_m,distance_km
54,838450.0,816050.0,114.19804733609233,22.28333043671607,394,1538.502192718739,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
55,838550.0,816050.0,114.19901768376167,22.28333030698911,394,1638.0730027911366,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
56,838650.0,816050.0,114.1999880314241,22.28333017146251,394,1737.6931052248478,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
57,838750.0,816050.0,114.20095837907931,22.283330030136284,394,1837.3544822430908,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
58,838850.0,816050.0,114.20192872672699,22.283329883010424,394,1937.050763116852,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
59,833050.0,816150.0,114.14564836031899,22.284231892770425,74,618.9143591205777,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
60,833150.0,816150.0,114.14661871411816,22.284232076232065,74,617.4894245194666,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
61,833250.0,816150.0,114.1475890679277,22.28423225389383,74,632.0849585784562,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
62,833350.0,816150.0,114.14855942174728,22.284232425755707,74,661.641595071588,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
63,833450.0,816150.0,114.14952977557658,22.284232591817698,74,704.2782161877661,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
64,833550.0,816150.0,114.15050012941529,22.284232752079788,74,757.7902158674051,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
65,833650.0,816150.0,114.1514704832631,22.284232906542012,74,820.0513500581015,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
66,833750.0,816150.0,114.15244083711964,22.284233055204325,74,889.2257431045626,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
67,833850.0,816150.0,114.15341119098466,22.284233198066772,74,963.826035997995,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
68,833950.0,816150.0,114.15438154485778,22.284233335129308,74,1042.6882722728567,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
69,834050.0,816150.0,114.15535189873872,22.284233466391967,74,1124.9164584995196,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
70,834150.0,816150.0,114.15632225262712,22.284233591854733,74,1209.8244682890356,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
71,834250.0,816150.0,114.15729260652272,22.284233711517615,74,1296.8860588111027,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
72,834350.0,816150.0,114.15826296042512,22.284233825380607,74,1385.6953687612372,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
73,834450.0,816150.0,114.15923331433407,22.284233933443716,1371,1467.222595774232,True,False,-1,,,,
74,834550.0,816150.0,114.16020366824924,22.284234035706923,1371,1400.4052218246118,True,False,-1,,,,
75,834650.0,816150.0,114.16117402217029,22.284234132170244,1371,1337.7321948270528,True,False,-1,,,,
76,834750.0,816150.0,114.1621443760969,22.28423422283368,1371,1279.8125115969012,True,False,-1,,,,
77,834850.0,816150.0,114.16311473002877,22.28423430769723,1371,1227.319316479266,True,False,-1,,,,
78,834950.0,816150.0,114.16408508396556,22.284234386760883,1371,1180.9764368378808,True,False,-1,,,,
79,835050.0,816150.0,114.16505543790694,22.284234460024653,1371,1141.533172592659,True,False,-1,,,,
80,835150.0,816150.0,114.16602579185263,22.284234527488525,1371,1109.7254723095373,True,False,-1,,,,
81,835250.0,816150.0,114.16699614580227,22.28423458915251,1371,1086.224315533302,True,False,-1,,,,
82,835350.0,816150.0,114.16796649975558,22.284234645016596,1371,1071.5763637832604,True,False,-1,,,,
83,835450.0,816150.0,114.1689368537122,22.284234695080794,1371,1066.1465861607019,True,False,-1,,,,
84,835550.0,816150.0,114.16990720767186,22.284234739345106,1371,1070.075316482575,True,False,-1,,,,
85,835650.0,816150.0,114.17087756163417,22.284234777809534,1371,1083.2607362534873,True,False,-1,,,,
86,835750.0,816150.0,114.17184791559887,22.28423481047407,1371,1105.3716399797906,True,False,-1,,,,
