node_id,harmonic_access,reachable_count,reachable_share,lon,lat,osm_id,access_rank,access_pct
944,0.5666044814069657,1636,0.9445727482678984,114.1694799,22.3100905,1624950144,394,0.7732256203115984
945,0.2858893091555576,1636,0.9445727482678984,114.1735065,22.3027621,1625209816,1595,0.08020773225620312
946,0.27458710119534285,1636,0.9445727482678984,114.1745233,22.3028212,1625209821,1607,0.07328332371609925
947,0.5023042887397401,1636,0.9445727482678984,114.1697705,22.303157,1625209825,722,0.5839584535487594
948,0.6822434140997347,1636,0.9445727482678984,114.1717393,22.3031921,1625209832,66,0.9624927870744374
949,0.5840266637527846,1636,0.9445727482678984,114.1734724,22.3033537,1625209833,326,0.812463935372187
950,0.4932584670996825,1636,0.9445727482678984,114.1721808,22.3039848,1625209840,784,0.5481823427582228
951,0.536749708931404,1636,0.9445727482678984,114.1735183,22.3040708,1625209841,526,0.6970571263704558
952,0.44581035954208253,1636,0.9445727482678984,114.1711222,22.3051974,1625209863,1102,0.36468551644547026
953,0.6823087344000373,1636,0.9445727482678984,114.1715768,22.3052682,1625209874,65,0.9630698211194461
954,0.4683248823195271,1636,0.9445727482678984,114.1743596,22.3052283,1625209877,951,0.45181765724177725
955,0.5030813279032104,1636,0.9445727482678984,114.1697429,22.3052836,1625209880,714,0.5885747259088286
956,0.5935440891449201,1636,0.9445727482678984,114.1720632,22.3054538,1625209882,297,0.829197922677438
957,0.6508484726570068,1636,0.9445727482678984,114.1672983,22.3057849,1625209888,129,0.9261396422388921
958,0.620372358431431,1636,0.9445727482678984,114.173022,22.3060769,1625209894,211,0.8788228505481823
959,0.5402647294453194,1636,0.9445727482678984,114.1694421,22.3061874,1625209896,508,0.7074437391806117
960,0.0,0,0.0,114.1726288,22.3062233,1625209899,1665,0.020196191575302943
961,0.5484317946942567,1636,0.9445727482678984,114.1734877,22.3064258,1625209902,468,0.7305251009809579
962,0.0,0,0.0,114.1725876,22.3066248,1625209910,1665,0.020196191575302943
963,0.5175051884900113,1636,0.9445727482678984,114.1740122,22.306722,1625209919,630,0.6370455856895557
964,0.4763817542189748,1637,0.9451501154734411,114.1725428,22.3071152,1625209947,901,0.48066935949221
965,0.599355756660058,1636,0.9445727482678984,114.1743467,22.3076813,1625209971,276,0.8413156376226197
966,0.5346937386877008,1636,0.9445727482678984,114.1741667,22.3082767,1625209996,533,0.6930178880553952
967,0.7516100222636012,1636,0.9445727482678984,114.1712781,22.3084117,1625210005,15,0.9919215233698788
968,0.5558556494834676,1636,0.9445727482678984,114.1721754,22.3083478,1625210019,439,0.7472590882862089
969,0.4146279545618378,1636,0.9445727482678984,114.1791731,22.3298194,1634974089,1258,0.27466820542412
970,0.37527633761472656,1636,0.9445727482678984,114.181674,22.332425,1634974112,1413,0.1852279284477784
971,0.4022927928559321,1636,0.9445727482678984,114.1787439,22.3324254,1634974118,1311,0.24408540103866128
972,0.6326143911872447,1636,0.9445727482678984,114.1734046,22.3181714,1636543631,172,0.9013271783035199
973,0.5255801574354649,1636,0.9445727482678984,114.1718354,22.3187498,1636543637,582,0.6647432198499712
974,0.5091780377876902,1636,0.9445727482678984,114.1724172,22.3188646,1636543654,680,0.608193883439123
975,0.6394617590832095,1636,0.9445727482678984,114.1730241,22.3189809,1636543655,155,0.911136757068667
976,0.6204093477746745,1636,0.9445727482678984,114.1652321,22.3201012,1636543662,210,0.879399884593191
977,0.58965312044499,1636,0.9445727482678984,114.1647701,22.3208828,1636543682,308,0.8228505481823427
978,0.581011067559816,1636,0.9445727482678984,114.1644987,22.321091,1636543686,338,0.8055395268320831
979,0.0,0,0.0,114.1807217,22.3215384,1636543699,1665,0.020196191575302943
980,0.4745373334159509,1636,0.9445727482678984,114.1744451,22.3260673,1636543831,909,0.4760530871321408
981,0.4410010789285491,1636,0.9445727482678984,114.1762924,22.3261312,1636543835,1127,0.3502596653202539
982,0.49233132562878534,1636,0.9445727482678984,114.1762909,22.3262258,1636543837,787,0.5464512406231967
