tpusb,connector_order,node_id,weight,selection,rep_snap_dist_m,node_x_hk80,node_y_hk80
231002,2,1520,0.3333333333333333,inside,136.34473176213876,836204.8402884408,820872.4731824067
231002,3,1711,0.3333333333333333,inside,124.47839117181255,836219.1189580467,820717.787729795
231003,1,718,0.3333333333333333,inside,53.483291171014145,836560.3960513315,820887.7351618774
231003,2,584,0.3333333333333333,inside,105.01067749178334,836438.4890938392,820790.6299828488
231003,3,307,0.3333333333333333,inside,103.34301591023431,836621.1388149124,820890.4826640497
231004,1,1522,0.3333333333333333,nearest,91.16174664129487,836787.5425450829,820898.3938493074
231004,2,33,0.3333333333333333,nearest,239.3606205977822,836471.1259723671,820885.0871510665
231004,3,1315,0.3333333333333333,nearest,244.84886660758002,836655.3788270411,821092.2755119553
231005,1,1522,1.0,inside,74.81840113207772,836787.5425450829,820898.3938493074
231006,1,535,0.5,inside,30.688500813791812,836978.2184296839,820907.4484827536
231006,2,527,0.5,inside,49.19546254787867,837026.8972047995,820905.5018660352
231007,1,1178,0.3333333333333333,inside,5.17452019079363,837126.7794968691,820890.3696493584
231007,2,1181,0.3333333333333333,inside,117.28446563167748,837236.941024508,820919.0011034914
231007,3,527,0.3333333333333333,inside,96.38833141147596,837026.8972047995,820905.5018660352
231008,1,980,0.3333333333333333,inside,93.44061918499632,836017.7268699515,820782.2926123098
231008,2,1710,0.3333333333333333,inside,106.9600476701572,836210.5576501187,820736.1918745768
231008,3,981,0.3333333333333333,inside,112.35846139138663,836208.0440348716,820789.3667197309
232001,1,898,0.3333333333333333,inside,120.81993357777482,836003.5934934928,820260.9315383754
232001,2,904,0.3333333333333333,inside,256.02206951681154,835934.1910225651,820126.5784421786
232001,3,903,0.3333333333333333,inside,224.49321990590647,835950.4186580745,820156.0556823199
232002,1,567,0.5,inside,137.73071393032617,836039.5768253038,820675.499674099
232002,2,308,0.5,inside,141.84368783868572,836025.6992832103,820672.3660865781
232004,1,439,0.3333333333333333,nearest,165.03275316995143,836273.3824975442,820222.8366305035
232004,2,898,0.3333333333333333,nearest,209.961906403316,836003.5934934928,820260.9315383754
232004,3,456,0.3333333333333333,nearest,187.99233393367965,836368.8065831829,820316.0534624853
232005,1,456,0.3333333333333333,nearest,127.36377413974508,836368.8065831829,820316.0534624853
232005,2,1326,0.3333333333333333,nearest,171.87143081501966,836420.6170975731,820519.3628592007
232005,3,613,0.3333333333333333,nearest,180.57157358980618,836296.841997685,820232.4595089765
232006,1,1573,0.3333333333333333,nearest,107.5888308304461,836403.1544312083,820488.2019372064
232006,2,873,0.3333333333333333,nearest,194.81182465655027,836331.1193664273,820253.5213614651
232006,3,576,0.3333333333333333,nearest,195.92578544107337,836410.5608713137,820610.851807325
232007,1,456,0.5,inside,153.41996401115642,836368.8065831829,820316.0534624853
232007,2,441,0.5,inside,185.77434448165315,836379.6247144537,820284.5716607497
232008,1,576,0.3333333333333333,inside,46.07423956228134,836410.5608713137,820610.851807325
232008,2,578,0.3333333333333333,inside,164.39231655836434,836368.6079831471,820736.9672834899
232008,3,1573,0.3333333333333333,inside,87.23929964450248,836403.1544312083,820488.2019372064
232009,1,613,0.3333333333333333,inside,41.982419246876105,836296.841997685,820232.4595089765
232009,2,440,0.3333333333333333,inside,61.12740859054494,836337.5379883025,820258.1833219173
232009,3,439,0.3333333333333333,inside,47.07095765653907,836273.3824975442,820222.8366305035
232010,1,615,0.5,inside,30.312044035900115,836100.5211286288,820160.1394943736
232010,2,591,0.5,inside,155.03245223566438,835959.3198492805,820131.3505954052
233001,1,581,0.3333333333333333,inside,32.37639866745508,836592.7890254941,820779.470421863
233001,2,585,0.3333333333333333,inside,189.52711596450257,836435.7289825546,820705.5081360074
233001,3,582,0.3333333333333333,inside,110.73940347850227,836506.980170116,820763.0358002242
233002,1,341,0.3333333333333333,inside,28.09175415614438,836903.4776917032,820836.37564036
233002,2,523,0.3333333333333333,inside,119.31746987991262,836802.0320996013,820770.8832471411
233002,3,243,0.3333333333333333,inside,119.95460345368778,836794.7467063711,820816.4060617728
233003,1,1177,0.5,inside,60.044389297006184,837035.9553331108,820858.2850014777
233003,2,350,0.5,inside,65.0865676228692,837129.3867629461,820876.6497545494
233007,1,1325,0.3333333333333333,inside,29.232891255128564,836426.6741037852,820608.515464963
233007,2,1723,0.3333333333333333,inside,101.02693245403663,836465.3820257639,820517.0490203293
233007,3,575,0.3333333333333333,inside,67.47405900830628,836427.1575800349,820679.1753172014
233010,1,1327,0.3333333333333333,inside,100.09513988214539,836397.046392671,820321.9115460137
233010,2,1723,0.3333333333333333,inside,115.7360228816822,836465.3820257639,820517.0490203293
233010,3,1324,0.3333333333333333,inside,100.41878027930996,836418.7525747061,820494.1485405847
233011,1,443,0.3333333333333333,inside,193.26136512783643,836639.9419903491,820410.0382230419
233011,2,1175,0.3333333333333333,inside,357.06813941301834,837040.3793519287,820772.4879170709
233011,3,444,0.3333333333333333,inside,223.78241165955714,836968.137708725,820563.494763334
234001,1,450,0.3333333333333333,inside,120.71317294550326,836416.1687331137,820278.282245341
234001,2,457,0.3333333333333333,inside,122.32054103727228,836443.3790102638,820224.1221914864
234001,3,571,0.3333333333333333,inside,132.30559855449462,836405.7835840319,820272.1363703706
234002,1,617,0.5,inside,54.58525575051875,836644.0737222774,820395.7092502125
234002,2,979,0.5,inside,121.14685611128154,836664.3833189645,820280.7892710499
234003,1,449,1.0,inside,114.06895584628444,836974.3919010551,820552.1779572705
234012,1,979,0.5,inside,105.6682871451607,836664.3833189645,820280.7892710499
234012,2,457,0.5,inside,122.50868128520837,836443.3790102638,820224.1221914864
234013,1,458,1.0,inside,49.1655045655631,836506.5473023182,820114.8721994162
234014,1,979,1.0,inside,62.3772072736349,836664.3833189645,820280.7892710499
234015,1,570,0.3333333333333333,inside,99.52528280027926,836933.8674344784,820413.8352508949
234015,2,569,0.3333333333333333,inside,128.69992591736138,836929.7046235559,820185.6994158827
234015,3,466,0.3333333333333333,inside,172.29860421968343,837026.1875955036,820460.1598453776
234016,1,569,0.5,inside,154.14572460858165,836929.7046235559,820185.6994158827
234016,2,465,0.5,inside,184.43855529047525,836922.1244504248,820121.5061899999
234021,1,455,0.3333333333333333,inside,65.83998192496608,836488.1876730939,820106.3453519971
234021,2,1526,0.3333333333333333,inside,337.35571106379587,836116.179496214,819950.9725957396
234021,3,616,0.3333333333333333,inside,177.86050527730268,836270.0444074076,820167.413911442
234022,1,572,0.3333333333333333,nearest,159.9663948159278,836504.5401399116,819992.2888746662
234022,2,616,0.3333333333333333,nearest,160.50360530117374,836270.0444074076,820167.413911442
