zone_od_id,origin_tpusb,destination_tpusb,main_mode,sample_flow,expanded_hk_flow,road_factor,road_proxy_flow,kish_neff,origin_26PDD,origin_26PDD_name,destination_26PDD,destination_26PDD_name
509,222025,236024,6,2,464.7713,1.0,464.7713,1.989768120892,6,Mong Kok,8,Kowloon City
510,222025,237001,6,1,276.8146,1.0,276.8146,1.0,6,Mong Kok,8,Kowloon City
511,222025,264034,1|6,2,295.3869,0.41435083511177323,122.39380869607785,1.744126369187,6,Mong Kok,7,Sham Shui Po
512,222025,267035,6,2,685.6633,1.0,685.6633,1.9031354067,6,Mong Kok,7,Sham Shui Po
513,222025,269003,6,1,100.7411,1.0,100.7411,1.0,6,Mong Kok,7,Sham Shui Po
514,222025,285017,6,1,294.7494,1.0,294.7494,1.0,6,Mong Kok,8,Kowloon City
515,222026,226007,6,1,0.8923,1.0,0.8923,1.0,6,Mong Kok,5,Yau Ma Tei
516,222027,151041,6,1,278.9101,1.0,278.9101,1.0,6,Mong Kok,3,Eastern
517,222027,236023,1|6,2,248.1144,0.41435083511177323,102.80640884325655,1.90367656883,6,Mong Kok,8,Kowloon City
518,222027,237003,5|6,5,871.2195,1.0,871.2195,4.321508765606,6,Mong Kok,8,Kowloon City
519,222027,241006,6,1,197.2906,1.0,197.2906,1.0,6,Mong Kok,8,Kowloon City
520,222027,241013,5,1,81.3498,1.0,81.3498,1.0,6,Mong Kok,8,Kowloon City
521,222027,242037,5,2,2530.0613,1.0,2530.0613,1.07670390225,6,Mong Kok,8,Kowloon City
522,222027,242046,6,1,306.3984,1.0,306.3984,1.0,6,Mong Kok,8,Kowloon City
523,222027,255015,6,1,75.5189,1.0,75.5189,1.0,6,Mong Kok,7,Sham Shui Po
524,222027,264020,6,1,231.7555,1.0,231.7555,1.0,6,Mong Kok,7,Sham Shui Po
525,222027,286014,6,1,101.8744,1.0,101.8744,1.0,6,Mong Kok,8,Kowloon City
526,222027,286039,6,4,369.2088,1.0,369.2088,3.947596371263,6,Mong Kok,8,Kowloon City
527,222029,225078,6,1,392.4982,1.0,392.4982,1.0,6,Mong Kok,5,Yau Ma Tei
528,222029,236022,5,2,24.22,1.0,24.22,2.0,6,Mong Kok,8,Kowloon City
529,222029,255011,6,1,82.879,1.0,82.879,1.0,6,Mong Kok,7,Sham Shui Po
530,225007,221008,9,1,279.3708,1.0,279.3708,1.0,5,Yau Ma Tei,6,Mong Kok
531,225013,251002,5,1,357.2827,1.0,357.2827,1.0,5,Yau Ma Tei,5,Yau Ma Tei
532,225013,284013,8,1,120.0756,1.0,120.0756,1.0,5,Yau Ma Tei,10,Wong Tai Sin
533,225019,283027,6,3,216.606,1.0,216.606,2.969072610422,5,Yau Ma Tei,10,Wong Tai Sin
534,225021,235012,5,1,258.5743,1.0,258.5743,1.0,5,Yau Ma Tei,8,Kowloon City
535,225024,286039,6,1,27.801,1.0,27.801,1.0,5,Yau Ma Tei,8,Kowloon City
536,225036,221016,5,2,494.9696,1.0,494.9696,1.998843595579,5,Yau Ma Tei,6,Mong Kok
537,225036,242037,7,1,93.5816,1.0,93.5816,1.0,5,Yau Ma Tei,8,Kowloon City
538,225040,237003,8,1,477.8088,1.0,477.8088,1.0,5,Yau Ma Tei,8,Kowloon City
539,225045,254006,5,1,63.6368,1.0,63.6368,1.0,5,Yau Ma Tei,7,Sham Shui Po
540,225048,229024,7,1,1637.1951,1.0,1637.1951,1.0,5,Yau Ma Tei,6,Mong Kok
541,225048,235004,5,1,187.7142,1.0,187.7142,1.0,5,Yau Ma Tei,8,Kowloon City
542,225048,266005,7,1,455.4927,1.0,455.4927,1.0,5,Yau Ma Tei,7,Sham Shui Po
543,225049,121017,6,1,117.6076,1.0,117.6076,1.0,5,Yau Ma Tei,1,Central & Western
544,225049,221001,6,1,101.579,1.0,101.579,1.0,5,Yau Ma Tei,6,Mong Kok
545,225050,221042,6,1,279.3708,1.0,279.3708,1.0,5,Yau Ma Tei,6,Mong Kok
546,225050,221043,6,1,775.9061,1.0,775.9061,1.0,5,Yau Ma Tei,6,Mong Kok
547,225052,234025,5,1,139.836,1.0,139.836,1.0,5,Yau Ma Tei,8,Kowloon City
548,225052,251002,7,1,139.3134,1.0,139.3134,1.0,5,Yau Ma Tei,5,Yau Ma Tei
549,225054,284007,6,1,97.3525,1.0,97.3525,1.0,5,Yau Ma Tei,10,Wong Tai Sin
550,225056,229044,8,1,284.2044,1.0,284.2044,1.0,5,Yau Ma Tei,6,Mong Kok
551,225064,255001,7,1,629.546,1.0,629.546,1.0,5,Yau Ma Tei,7,Sham Shui Po
552,225064,271046,6,1,6.8377,1.0,6.8377,1.0,5,Yau Ma Tei,8,Kowloon City
553,225071,153017,6,1,198.6557,1.0,198.6557,1.0,5,Yau Ma Tei,3,Eastern
554,225071,227020,8,2,215.2213,1.0,215.2213,1.993736321233,5,Yau Ma Tei,6,Mong Kok
555,225074,264034,6,5,374.4052,1.0,374.4052,4.98856890521,5,Yau Ma Tei,7,Sham Shui Po
556,225075,232008,6,1,410.8337,1.0,410.8337,1.0,5,Yau Ma Tei,8,Kowloon City
557,225078,220028,6,1,186.4346,1.0,186.4346,1.0,5,Yau Ma Tei,5,Yau Ma Tei
558,225078,221096,6,1,211.317,1.0,211.317,1.0,5,Yau Ma Tei,6,Mong Kok
559,225078,243045,6,1,102.3594,1.0,102.3594,1.0,5,Yau Ma Tei,8,Kowloon City
560,225078,265018,6,1,334.6976,1.0,334.6976,1.0,5,Yau Ma Tei,7,Sham Shui Po
561,225078,267003,5,1,145.8806,1.0,145.8806,1.0,5,Yau Ma Tei,7,Sham Shui Po
562,225081,253005,5,2,577.461,1.0,577.461,1.942627955936,5,Yau Ma Tei,5,Yau Ma Tei
563,225085,255014,6,1,331.285,1.0,331.285,1.0,5,Yau Ma Tei,7,Sham Shui Po
564,225087,266018,6,1,393.4005,1.0,393.4005,1.0,5,Yau Ma Tei,7,Sham Shui Po
