connector_od_id,zone_od_id,origin_tpusb,destination_tpusb,origin_node,destination_node,pair_weight,demand
7225,1127,245018,220026,230,599,0.11111111111111108,11.043166666666664
7226,1127,245018,220026,230,606,0.11111111111111108,11.043166666666664
7227,1128,245018,226019,1223,803,0.16666666666666669,446.5198166666667
7228,1128,245018,226019,1223,804,0.16666666666666669,446.5198166666667
7229,1128,245018,226019,1726,803,0.16666666666666669,446.5198166666667
7230,1128,245018,226019,1726,804,0.16666666666666669,446.5198166666667
7231,1128,245018,226019,230,803,0.16666666666666669,446.5198166666667
7232,1128,245018,226019,230,804,0.16666666666666669,446.5198166666667
7233,1129,245018,237003,1223,902,0.16666666666666669,309.35531666666674
7234,1129,245018,237003,1223,463,0.16666666666666669,309.35531666666674
7235,1129,245018,237003,1726,902,0.16666666666666669,309.35531666666674
7236,1129,245018,237003,1726,463,0.16666666666666669,309.35531666666674
7237,1129,245018,237003,230,902,0.16666666666666669,309.35531666666674
7238,1129,245018,237003,230,463,0.16666666666666669,309.35531666666674
7239,1130,245018,241013,1223,1130,0.11111111111111108,20.92105555555555
7240,1130,245018,241013,1223,1299,0.11111111111111108,20.92105555555555
7241,1130,245018,241013,1223,1137,0.11111111111111108,20.92105555555555
7242,1130,245018,241013,1726,1130,0.11111111111111108,20.92105555555555
7243,1130,245018,241013,1726,1299,0.11111111111111108,20.92105555555555
7244,1130,245018,241013,1726,1137,0.11111111111111108,20.92105555555555
7245,1130,245018,241013,230,1130,0.11111111111111108,20.92105555555555
7246,1130,245018,241013,230,1299,0.11111111111111108,20.92105555555555
7247,1130,245018,241013,230,1137,0.11111111111111108,20.92105555555555
7248,1131,245018,241022,1223,1129,0.11111111111111108,117.46108888888884
7249,1131,245018,241022,1223,1131,0.11111111111111108,117.46108888888884
7250,1131,245018,241022,1223,1128,0.11111111111111108,117.46108888888884
7251,1131,245018,241022,1726,1129,0.11111111111111108,117.46108888888884
7252,1131,245018,241022,1726,1131,0.11111111111111108,117.46108888888884
7253,1131,245018,241022,1726,1128,0.11111111111111108,117.46108888888884
7254,1131,245018,241022,230,1129,0.11111111111111108,117.46108888888884
7255,1131,245018,241022,230,1131,0.11111111111111108,117.46108888888884
7256,1131,245018,241022,230,1128,0.11111111111111108,117.46108888888884
7257,1132,245018,243008,1223,1205,0.16666666666666669,186.07926666666668
7258,1132,245018,243008,1223,496,0.16666666666666669,186.07926666666668
7259,1132,245018,243008,1726,1205,0.16666666666666669,186.07926666666668
7260,1132,245018,243008,1726,496,0.16666666666666669,186.07926666666668
7261,1132,245018,243008,230,1205,0.16666666666666669,186.07926666666668
7262,1132,245018,243008,230,496,0.16666666666666669,186.07926666666668
7263,1133,245018,243047,1223,482,0.11111111111111108,22.06712069607333
7264,1133,245018,243047,1223,1499,0.11111111111111108,22.06712069607333
7265,1133,245018,243047,1223,298,0.11111111111111108,22.06712069607333
7266,1133,245018,243047,1726,482,0.11111111111111108,22.06712069607333
7267,1133,245018,243047,1726,1499,0.11111111111111108,22.06712069607333
7268,1133,245018,243047,1726,298,0.11111111111111108,22.06712069607333
7269,1133,245018,243047,230,482,0.11111111111111108,22.06712069607333
7270,1133,245018,243047,230,1499,0.11111111111111108,22.06712069607333
7271,1133,245018,243047,230,298,0.11111111111111108,22.06712069607333
7272,1134,245018,247006,1223,1139,0.11111111111111108,33.91602222222221
7273,1134,245018,247006,1223,313,0.11111111111111108,33.91602222222221
7274,1134,245018,247006,1223,1136,0.11111111111111108,33.91602222222221
7275,1134,245018,247006,1726,1139,0.11111111111111108,33.91602222222221
7276,1134,245018,247006,1726,313,0.11111111111111108,33.91602222222221
7277,1134,245018,247006,1726,1136,0.11111111111111108,33.91602222222221
7278,1134,245018,247006,230,1139,0.11111111111111108,33.91602222222221
7279,1134,245018,247006,230,313,0.11111111111111108,33.91602222222221
7280,1134,245018,247006,230,1136,0.11111111111111108,33.91602222222221
7281,1135,245018,283032,1223,1200,0.11111111111111108,16.127688888888887
7282,1135,245018,283032,1223,338,0.11111111111111108,16.127688888888887
7283,1135,245018,283032,1223,1201,0.11111111111111108,16.127688888888887
7284,1135,245018,283032,1726,1200,0.11111111111111108,16.127688888888887
7285,1135,245018,283032,1726,338,0.11111111111111108,16.127688888888887
7286,1135,245018,283032,1726,1201,0.11111111111111108,16.127688888888887
7287,1135,245018,283032,230,1200,0.11111111111111108,16.127688888888887
7288,1135,245018,283032,230,338,0.11111111111111108,16.127688888888887
7289,1135,245018,283032,230,1201,0.11111111111111108,16.127688888888887
7290,1136,245019,244030,1463,1290,0.11111111111111108,39.16999999999999
7291,1136,245019,244030,1463,1726,0.11111111111111108,39.16999999999999
7292,1136,245019,244030,1463,1090,0.11111111111111108,39.16999999999999
7293,1136,245019,244030,1223,1290,0.11111111111111108,39.16999999999999
7294,1136,245019,244030,1223,1726,0.11111111111111108,39.16999999999999
7295,1136,245019,244030,1223,1090,0.11111111111111108,39.16999999999999
7296,1136,245019,244030,541,1290,0.11111111111111108,39.16999999999999
7297,1136,245019,244030,541,1726,0.11111111111111108,39.16999999999999
7298,1136,245019,244030,541,1090,0.11111111111111108,39.16999999999999
7299,1137,245019,254012,1463,189,0.11111111111111108,55.337277777777764
7300,1137,245019,254012,1463,1241,0.11111111111111108,55.337277777777764
7301,1137,245019,254012,1463,1561,0.11111111111111108,55.337277777777764
7302,1137,245019,254012,1223,189,0.11111111111111108,55.337277777777764
7303,1137,245019,254012,1223,1241,0.11111111111111108,55.337277777777764
7304,1137,245019,254012,1223,1561,0.11111111111111108,55.337277777777764
7305,1137,245019,254012,541,189,0.11111111111111108,55.337277777777764
7306,1137,245019,254012,541,1241,0.11111111111111108,55.337277777777764
7307,1137,245019,254012,541,1561,0.11111111111111108,55.337277777777764
7308,1138,245020,214013,1511,830,0.16666666666666669,10.031433333333334
7309,1138,245020,214013,1511,1107,0.16666666666666669,10.031433333333334
7310,1138,245020,214013,1511,1720,0.16666666666666669,10.031433333333334
7311,1138,245020,214013,1076,830,0.16666666666666669,10.031433333333334
7312,1138,245020,214013,1076,1107,0.16666666666666669,10.031433333333334
7313,1138,245020,214013,1076,1720,0.16666666666666669,10.031433333333334
7314,1139,246001,225013,1172,1018,0.3333333333333333,60.2646
7315,1139,246001,225013,1172,743,0.3333333333333333,60.2646
7316,1139,246001,225013,1172,1017,0.3333333333333333,60.2646
7317,1140,246001,234015,1172,570,0.3333333333333333,124.24076437015779
